Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
east-midlands,East Midlands,east-midlands,,0,
east-of-england,East of England,east-of-england,,1,
eastern-scotland,Eastern Scotland,eastern-scotland,,2,
highlands-and-islands,Highlands and Islands,highlands-and-islands,,3,
london,London,london,,4,
north-east,North East,north-east,,5,
north-eastern-scotland,North Eastern Scotland,north-eastern-scotland,,6,
north-west,North West,north-west,,7,
northern-ireland,Northern Ireland,northern-ireland,,8,
south-east,South East,south-east,,9,
south-west,South West,south-west,,10,
southern-scotland,Southern Scotland,southern-scotland,,11,
wales,Wales,wales,,12,
west-central-scotland,West Central Scotland,west-central-scotland,,13,
west-midlands,West Midlands,west-midlands,,14,
yorkshire-and-the-humber,Yorkshire and the Humber,yorkshire-and-the-humber,,15,
